#ARTIST:Hamilton Broadway Cast
#TITLE:Cabinet Battle #1
#MP3:Hamilton Broadway Cast - Cabinet Battle #1.mp3
#EDITION:Hamilton - An American Musical
#LANGUAGE:English
#BPM:1392
F 35 26 64 Lad
F 61 23 64 ies 
F 88 20 64 and 
F 114 16 64 gen
F 130 11 64 tle
F 141 20 64 men, 
- 163
F 207 15 64 You 
F 229 6 64 coul
F 235 12 64 da
F 251 7 64  been 
F 263 11 64 a
F 274 10 64 ny
F 284 19 64 where 
F 313 7 64 in 
F 325 8 64 the 
F 336 31 64 world 
F 372 12 64 to
F 384 20 64 night, 
- 406
F 409 12 64 But 
F 426 12 64 you're 
F 442 14 64 here 
F 461 11 64 with 
F 476 17 64 us 
F 498 12 64 in 
F 514 32 64 New 
F 550 23 64 York
F 576 28 64  Ci
F 604 11 64 ty 
- 617
F 647 8 64 Are 
F 659 20 64 you 
F 687 19 64 rea
F 706 13 64 dy 
F 748 14 64 for 
F 771 8 64 a 
F 790 28 64 cab
F 818 18 64 'net 
F 841 19 64 mee
F 860 16 64 ting
- 878
F 1007 14 64 The 
F 1026 18 64 iss
F 1044 16 64 ue 
F 1075 28 64 on 
F 1111 11 64 the 
F 1128 21 64 ta
F 1149 16 64 ble: 
- 1167
F 1230 12 64 Sec
F 1242 15 64 re
F 1257 9 64 ta
F 1266 15 64 ry 
F 1288 9 64 Ha
F 1297 12 64 mil
F 1309 16 64 ton's 
F 1337 18 64 plan 
F 1358 10 64 to 
F 1376 7 64 a
F 1383 26 64 ssume
F 1414 26 64  state 
F 1448 19 64 debt 
- 1469
F 1494 5 64 And 
F 1503 16 64 es
F 1519 20 64 tab
F 1539 17 64 lish 
F 1561 3 64 a 
F 1565 16 64 na
F 1581 12 64 tion
F 1593 9 64 al
F 1608 16 64  bank 
- 1626
F 1688 13 64 Sec
F 1701 11 64 re
F 1712 11 64 ta
F 1723 8 64 ry 
F 1736 16 64 Jeff
F 1752 11 64 er
F 1763 16 64 son, 
F 1824 9 64 you 
F 1841 16 64 have 
F 1866 11 64 the
F 1883 17 64  floor, 
F 1912 24 64 sir 
- 1938
F 4144 29 64 Not 
F 4177 32 64  true 
- 4211
F 7973 18 64 Tho
F 7991 16 64 mas, 
F 8027 18 64 That 
F 8048 12 64 was 
F 8064 10 64 a 
F 8079 19 64 real 
F 8104 21 64 nice 
F 8127 13 64 de
F 8140 20 64 cla
F 8160 19 64 ra
F 8179 26 64 tion
- 8207
F 8221 17 64 Wel
F 8238 16 64 come 
F 8257 12 64 to 
F 8272 11 64 the 
F 8285 16 64 pre
F 8301 16 64 sent, 
- 8317
F 8317 14 64 We're 
F 8334 14 64  run
F 8348 14 64 ning 
F 8364 8 64 a 
F 8375 28 64 real 
F 8409 23 64 na
F 8432 24 64 tion 
- 8458
F 8477 10 64 Would 
F 8489 15 64 you
F 8506 15 64  like 
F 8524 10 64 to 
F 8537 33 64 join 
F 8571 17 64 us,
F 8613 7 64  or 
F 8627 21 64 stay 
F 8660 18 64 mel
F 8678 15 64 low 
- 8695
F 8702 12 64 Do
F 8714 14 64 in' 
F 8732 16 64 what
F 8748 15 64 e
F 8763 13 64 ver 
F 8780 9 64 the 
F 8792 14 64 hell 
F 8809 13 64 it 
F 8825 12 64 is 
F 8840 12 64 you 
F 8854 12 64 do
F 8869 15 64  in 
F 8887 14 64 Mon
F 8901 12 64 ti
F 8913 22 64 cel
F 8935 17 64 lo 
- 8954
F 9008 6 64 If 
F 9016 11 64 we 
F 9030 10 64 as
F 9040 36 64 sume 
F 9079 12 64 the 
F 9093 25 64 debts,
F 9126 10 64  the 
F 9139 27 64 un
F 9166 21 64 ion
F 9190 18 64  gets 
- 9210
F 9225 6 64 A 
F 9233 23 64 new 
F 9262 18 64 line 
F 9282 11 64 of 
F 9296 16 64 cre
F 9312 13 64 dit, 
F 9328 7 64 a 
F 9337 21 64 fi
F 9358 15 64 nan
F 9373 19 64 cial 
F 9394 17 64 di
F 9411 15 64 ur
F 9426 13 64 e
F 9439 18 64 tic 
- 9459
F 9463 9 64 How 
F 9475 8 64 do 
F 9485 13 64 you 
F 9501 11 64 not 
F 9516 15 64 get 
F 9532 10 64 it 
- 9544
F 9572 11 64 If 
F 9584 11 64 we're 
F 9597 16 64 ag
F 9613 16 64 gres
F 9629 16 64 sive 
F 9648 13 64 and 
F 9663 12 64 com
F 9675 18 64 pe
F 9693 11 64 ti
F 9704 22 64 tive 
- 9728
F 9733 6 64 The 
F 9742 18 64 u
F 9760 14 64 nion 
F 9776 15 64 gets 
F 9794 5 64 a 
F 9802 33 64 boost 
- 9837
F 9839 10 64 You'd 
F 9851 15 64 ra
F 9866 16 64 ther
F 9884 15 64  give 
F 9900 12 64 it 
F 9915 7 64 a 
F 9924 19 64 sed
F 9943 9 64 a
F 9952 19 64 tive?
- 9973
F 10017 4 64 A 
F 10024 20 64 ci
F 10044 16 64 vics 
F 10064 13 64 les
F 10077 11 64 son
F 10094 11 64  from 
F 10107 4 64 a 
F 10114 41 64 sla
F 10155 13 64 ver 
- 10170
F 10172 20 64 Hey 
F 10197 28 64 neigh
F 10225 22 64 bor 
- 10249
F 10268 10 64 Your
F 10281 18 64  debts 
F 10301 10 64 are 
F 10313 18 64 paid 
F 10339 13 64 'cause 
F 10354 10 64 you 
F 10367 17 64 don't 
F 10389 19 64 pay
F 10425 8 64  for 
F 10435 31 64 la
F 10466 18 64 bor 
- 10486
F 10518 12 64 "We 
F 10533 24 64 plant 
F 10559 33 64 seeds 
F 10595 6 64 in 
F 10604 7 64 the
F 10614 31 64  South, 
F 10648 10 64 We 
F 10662 18 64 cre
F 10680 25 64 ate"
- 10707
F 10710 9 64 Yeah, 
F 10720 20 64 keep 
F 10744 34 64 rant
F 10778 16 64 ing 
- 10796
F 10818 9 64 We 
F 10830 16 64 know 
F 10848 16 64 who's 
F 10865 15 64 real
F 10880 13 64 ly 
F 10895 13 64 do
F 10908 14 64 ing 
F 10924 11 64 the
F 10940 25 64  plan
F 10965 30 64 ting
- 10997
F 11052 6 64 And 
F 11060 9 64 a
F 11069 12 64 no
F 11081 13 64 ther 
F 11101 13 64 thing, 
F 11119 13 64 Mis
F 11132 13 64 ter 
F 11150 19 64 Age 
F 11171 8 64 of 
F 11181 12 64 En
F 11193 18 64 ligh
F 11211 15 64 ten
F 11226 18 64 ment 
- 11246
F 11249 9 64 Don't 
F 11262 15 64 lec
F 11277 14 64 ture 
F 11294 17 64 me 
F 11314 10 64 a
F 11324 20 64 bout 
F 11348 14 64 the
F 11375 19 64  war, 
- 11396
F 11406 11 64 You 
F 11420 12 64 did
F 11432 12 64 n't 
F 11447 17 64 fight 
F 11469 11 64 in 
F 11486 11 64 it 
- 11499
F 11534 6 64 You
F 11542 14 64  think 
F 11558 13 64 I'm 
F 11573 22 64 frigh
F 11595 11 64 tened 
F 11608 14 64 of 
F 11624 14 64 you, 
F 11641 17 64 man 
- 11659
F 11660 10 64 We
F 11675 9 64  al
F 11684 13 64 most 
F 11699 18 64 died 
F 11722 5 64 in 
F 11729 11 64 the 
F 11743 30 64 trench 
- 11775
F 11789 9 64 While 
F 11800 10 64 you
F 11812 16 64  were 
F 11834 16 64 off 
F 11860 14 64 get
F 11874 6 64 ting 
F 11888 25 64 high 
F 11918 9 64 with 
F 11929 13 64 the
F 11944 28 64  French 
- 11974
F 12017 20 64 Tho
F 12037 15 64 mas 
F 12057 13 64 Jeff
F 12070 9 64 er
F 12079 18 64 son, 
F 12101 12 64 al
F 12113 14 64 ways 
F 12131 13 64 he
F 12144 16 64 si
F 12160 17 64 tant
F 12180 13 64  with 
F 12196 11 64 the 
F 12212 11 64 Pre
F 12223 16 64 si
F 12239 16 64 dent 
- 12257
F 12274 11 64 Re
F 12285 16 64 ti
F 12301 18 64 cent
F 12329 20 64  there
F 12354 14 64  is
F 12368 11 64 n't 
F 12382 8 64 a 
F 12392 22 64 plan 
F 12418 11 64 he 
F 12434 11 64 does
F 12445 12 64 n't 
F 12460 15 64 jett
F 12475 18 64 i
F 12493 20 64 son 
- 12515
F 12524 20 64 Ma
F 12544 15 64 di
F 12559 11 64 son, 
F 12574 11 64 you're 
F 12588 16 64 mad 
F 12608 10 64 as 
F 12623 11 64 a 
F 12636 19 64 hat
F 12655 9 64 ter, 
F 12666 13 64 son,
F 12682 17 64  take 
F 12702 12 64 your 
F 12718 13 64 me
F 12731 17 64 di
F 12748 21 64 cine 
- 12771
F 12782 16 64 Damn, 
F 12802 13 64 you're 
F 12820 5 64 in
F 12830 21 64  worse 
F 12852 24 64 shape 
F 12881 20 64 than 
F 12904 13 64 the 
F 12920 14 64 na
F 12934 17 64 tion
F 12951 13 64 al 
F 12966 12 64 debt
F 12981 14 64  is 
F 12997 20 64 in 
- 13019
F 13028 23 64 Sit
F 13051 11 64 tin' 
F 13068 18 64 there 
F 13096 32 64 use
F 13130 16 64 less 
F 13149 13 64 as 
F 13164 18 64 two
F 13189 27 64  shits 
- 13218
F 13232 18 64 Hey, 
F 13263 13 64 turn 
F 13281 11 64 a
F 13292 23 64 round, 
F 13320 32 64 bend 
F 13354 18 64 ov
F 13372 11 64 er,
- 13384
F 13385 6 64 I'll 
F 13402 17 64 show 
F 13426 11 64 you 
F 13443 11 64 where 
F 13457 12 64 my 
F 13476 22 64 shoe 
F 13513 39 64 fits 
- 13554
F 14363 22 64 Sir 
- 14387
F 14616 28 64 You 
F 14649 19 64 don't 
F 14679 32 64 have 
F 14714 12 64 the 
F 14730 35 64 votes 
- 14767
F 14812 19 64 You 
F 14845 20 64 don't 
F 14876 25 64 have 
F 14904 12 64 the 
F 14919 31 64 votes 
- 14952
F 15110 13 64 You're 
F 15127 12 64 gon
F 15139 13 64 na 
F 15157 16 64 need 
F 15176 14 64 con
F 15190 19 64 gres
F 15209 13 64 sion
F 15222 14 64 al
F 15238 16 64  a
F 15254 18 64 ppro
F 15272 14 64 val 
- 15287
F 15288 24 64 And 
F 15319 28 64 you 
F 15351 21 64 don't 
F 15380 24 64 have 
F 15408 15 64 the
F 15427 41 64  votes 
- 15470
F 15913 16 64 Why 
F 15933 17 64 he 
F 15952 11 64 ev
F 15963 14 64 en 
F 15980 17 64 brings 
F 15999 13 64 the 
F 16016 26 64 thun
F 16042 20 64 der...
- 16064
F 16568 11 64 I'm 
F 16582 19 64 sor
F 16601 11 64 ry, 
F 16617 15 64 these 
F 16634 12 64 Vir
F 16646 15 64 gin
F 16661 15 64 i
F 16676 12 64 ans 
F 16692 9 64 are
F 16703 34 64  birds 
F 16739 9 64 of 
F 16751 8 64 a 
F 16762 20 64 fea
F 16782 21 64 ther 
- 16805
F 17058 13 64 So 
F 17075 12 64 we 
F 17092 15 64 let 
F 17112 20 64 Con
F 17132 18 64 gress 
F 17153 14 64 get 
F 17170 26 64 held 
F 17200 25 64 hos
F 17225 16 64 tage
F 17243 12 64  by 
F 17258 11 64 the 
F 17272 37 64 South 
- 17311
F 17419 19 64 No, 
F 17455 12 64 we 
F 17469 21 64 need 
F 17497 21 64 bold 
F 17523 38 64 strokes 
- 17563
F 17567 15 64 We 
F 17584 19 64 need 
F 17607 15 64 this
F 17631 37 64  plan 
- 17670
: 17801 15 64 Well, 
: 17818 27 64 James 
: 17849 15 64 Mad
: 17864 10 64 i
: 17874 14 64 son 
: 17890 20 64 won't 
: 17913 14 64 talk 
: 17932 9 64 to
: 17944 18 64  me, 
- 17964
F 17966 17 64 That's 
F 17988 12 64 a 
F 18008 28 64 non
F 18036 22 64 start
F 18058 28 64 er 
- 18088
F 18305 18 64 They're 
F 18326 14 64 be
F 18340 5 64 ing 
F 18348 6 64 in
F 18354 30 64 trans
F 18384 11 64 i
F 18395 42 64 gent 
- 18439
F 18564 10 64 But 
F 18577 8 64 they 
F 18588 13 64 don't
F 18604 10 64  have 
F 18618 7 64 a 
F 18633 23 64 plan, 
F 18663 10 64 they 
F 18676 17 64 just 
F 18696 20 64 hate 
F 18720 37 64 mine 
- 18759
F 18821 18 64 And 
F 18842 13 64 what
F 18864 17 64  hap
F 18881 23 64 pens 
F 18908 7 64 if 
F 18918 7 64 I 
F 18931 21 64 don't 
F 18955 13 64 get 
F 18972 12 64 con
F 18984 19 64 gres
F 19003 11 64 sio
F 19014 10 64 nal 
F 19028 14 64 ap
F 19042 20 64 pro
F 19062 22 64 val 
- 19086
F 19325 26 64 Sir
F 2150 19 64 "Life, 
F 2179 14 64 li
F 2193 19 64 ber
F 2212 13 64 ty 
F 2231 8 64 and 
F 2242 11 64 the 
F 2259 10 64 pur
F 2269 19 64 suit 
F 2292 9 64 of
F 2305 16 64  hap
F 2321 15 64 pi
F 2336 22 64 ness"
- 2360
F 2393 9 64 We 
F 2406 14 64 fought 
F 2424 10 64 for 
F 2436 15 64 these 
F 2453 13 64 i
F 2466 28 64 deals
- 2496
F 2501 6 64 We 
F 2511 16 64 should
F 2527 11 64 n't 
F 2543 19 64 set
F 2562 9 64 tle 
F 2576 12 64 for 
F 2591 23 64 less 
- 2616
F 2655 17 64 These 
F 2674 8 64 are 
F 2687 26 64 wise 
F 2716 31 64 words, 
F 2751 13 64 en
F 2764 18 64 ter
F 2782 23 64 pri
F 2805 23 64 sing
F 2829 15 64  men 
F 2848 29 64 quote 
F 2885 19 64 'em 
- 2906
F 2909 20 64 Don't 
F 2932 21 64 act 
F 2955 17 64 sur
F 2972 34 64 prised,
F 3008 15 64  you 
F 3028 23 64 guys, 
F 3058 15 64 'cause 
F 3077 15 64 I 
F 3102 33 64 wrote 
F 3141 15 64 'em 
- 3158
F 3197 73 64 Oww 
- 3271
F 3272 13 64 But
F 3290 18 64  Ham
F 3308 12 64 il
F 3320 15 64 ton 
F 3340 14 64 for
F 3354 28 64 gets 
- 3384
F 3405 14 64 His 
F 3423 17 64 plan 
F 3444 7 64 would
F 3453 14 64  have 
F 3469 10 64 the 
F 3483 14 64 gov
F 3497 14 64 ern
F 3511 11 64 ment 
F 3526 9 64 a
F 3535 29 64 ssume 
F 3568 33 64 state's
F 3607 49 64  debts 
- 3658
F 3667 13 64 Now, 
F 3695 21 64 place 
F 3720 17 64 your 
F 3740 20 64 bets 
F 3769 10 64 as 
F 3784 9 64 to
F 3799 10 64  who 
F 3814 11 64 that 
F 3833 11 64 be
F 3844 12 64 ne
F 3856 26 64 fits: 
- 3884
F 3908 10 64 The 
F 3926 15 64 ve
F 3941 11 64 ry 
F 3956 14 64 seat 
F 3976 9 64 of
F 3991 17 64  gov
F 4008 13 64 ern
F 4021 15 64 ment 
F 4042 11 64 where 
F 4058 17 64 Ham
F 4075 17 64 il
F 4092 17 64 ton 
F 4115 75 64 sits 
- 4192
F 4214 50 64 Ooh, 
F 4272 10 64 if 
F 4287 10 64 the 
F 4301 21 64 shoe 
F 4332 23 64 fits, 
F 4363 26 64 wear 
F 4392 19 64 it 
- 4413
F 4421 9 64 If 
F 4433 12 64 New 
F 4448 29 64 York's 
F 4481 7 64 in 
F 4492 25 64 debt 
- 4519
F 4528 11 64 Why 
F 4545 18 64 should
F 4569 15 64  Vir
F 4584 21 64 gin
F 4605 21 64 ia 
F 4628 13 64 bear 
F 4656 13 64 it 
- 4671
F 4722 36 64 Uh, 
F 4764 18 64 Our 
F 4786 15 64 debts 
F 4804 10 64 are 
F 4817 21 64 paid, 
F 4846 14 64 I'm 
F 4864 10 64 a
F 4874 30 64 fraid 
- 4904
F 4904 13 64 Don't 
F 4925 26 64 tax 
F 4956 9 64 the 
F 4968 29 64 South 
- 4999
F 5001 15 64 'cause 
F 5020 10 64 we 
F 5032 14 64 got
F 5048 9 64  it 
F 5060 26 64 made 
F 5092 11 64 in 
F 5106 8 64 the 
F 5117 78 64 shade 
- 5197
F 5207 11 64 In 
F 5223 9 64 Vir
F 5232 15 64 gin
F 5247 12 64 ia, 
F 5265 12 64 we 
F 5280 24 64 plant 
F 5308 34 64 seeds 
F 5344 6 64 in 
F 5352 6 64 the
F 5363 25 64  ground 
- 5390
F 5406 12 64 We 
F 5420 18 64 cre
F 5438 16 64 ate 
- 5456
F 5474 11 64 You 
F 5489 11 64 just 
F 5508 11 64 wan
F 5519 11 64 na
F 5532 18 64  move 
F 5553 10 64 our 
F 5566 16 64 mo
F 5582 12 64 ney 
F 5598 8 64 a
F 5606 33 64 round 
- 5641
F 5665 19 64 This 
F 5688 23 64 fi
F 5711 24 64 nan
F 5735 16 64 cial 
F 5757 23 64 plan 
F 5785 7 64 is 
F 5795 6 64 an 
F 5804 17 64 out
F 5821 20 64 ra
F 5841 16 64 geous 
F 5861 11 64 de
F 5872 28 64 mand 
- 5901
F 5902 9 64 And 
F 5914 14 64 it's 
F 5932 11 64 too 
F 5946 8 64 ma
F 5954 9 64 ny 
F 5975 22 64 damn 
F 6003 28 64 pa
F 6031 17 64 ges 
- 6048
F 6048 10 64 For 
F 6062 11 64 a
F 6073 12 64 ny 
F 6089 21 64 man 
F 6118 9 64 to 
F 6131 16 64 un
F 6147 11 64 der
F 6158 42 64 stand 
- 6202
F 6219 25 64 Stand 
F 6247 15 64 with 
F 6267 17 64 me
F 6297 11 64  in 
F 6312 11 64 the 
F 6325 17 64 land 
F 6344 8 64 of 
F 6355 14 64 the 
F 6373 27 64 free 
- 6402
F 6422 11 64 Pray 
F 6438 10 64 to
F 6452 22 64  God 
F 6480 9 64 we 
F 6492 10 64 ne
F 6502 9 64 ver 
F 6513 15 64 see 
F 6532 16 64 Ham
F 6548 10 64 il
F 6558 20 64 ton's 
F 6581 15 64 can
F 6596 11 64 di
F 6607 16 64 da
F 6623 18 64 cy
- 6643
F 6654 17 64 Look, 
F 6688 12 64 when 
F 6704 14 64 Bri
F 6718 18 64 tain 
F 6740 19 64 taxed 
F 6762 16 64 our
F 6783 19 64  tea, 
F 6811 15 64 we 
F 6830 15 64 got 
F 6853 29 64 fris
F 6882 16 64 ky 
- 6900
F 6947 10 64 I
