#ARTIST:Herman van Veen
#TITLE:Hilversum III
#MP3:Herman van Veen - Hilversum III.mp3
#LANGUAGE:Dutch
#BPM:182
#GAP:31700
#VIDEO:Herman van Veen  Hilversum III.flv
#VIDEOGAP:-8,2
: 0 3 -7 Vroe
: 3 3 -14 ger 
: 12 2 -12 werd 
: 15 1 -14 ge
: 16 2 -12 zong
: 19 1 -14 en 
: 20 2 -12 en 
: 23 1 -14 ge
: 24 2 -12 flo
: 27 1 -14 ten 
: 28 2 -12 in 
: 31 2 -14 de 
: 33 7 -12 straat, 
- 51
: 69 2 -9 had 
: 71 2 -9 de 
: 73 2 -9 slag
: 76 2 -9 ers
: 80 2 -7 jong
: 82 2 -7 en 
: 84 2 -10 nog 
: 86 3 -7 een 
: 90 2 -10 op
: 92 4 -7 era 
: 100 2 -10 pa
: 102 6 -5 raat.
- 116
: 132 1 -10 De 
: 133 2 -5 met
: 135 1 -10 se
: 137 2 -7 laar 
: 143 2 -14 kon 
: 145 2 -12 zing
: 147 3 -12 end 
: 157 2 -12 op 
: 159 2 -14 de 
: 161 2 -12 stei
: 163 1 -10 ger 
: 165 6 -12 staan, 
- 176
: 192 2 -12 de 
: 194 2 -14 melk
: 197 4 -14 boer 
: 205 2 -14 leng
: 207 1 -14 de 
: 209 2 -10 fluit
: 211 4 -12 end 
: 216 2 -14 zijn 
: 218 4 -10 melk 
: 223 1 -14 een 
: 225 2 -10 bee
: 227 1 -12 tje 
: 229 3 -14 aan. 
- 246
* 262 3 2 Hil
* 265 2 2 ver
* 268 2 0 sum 
* 271 6 -2 drie 
* 277 2 -3 be
* 280 6 -2 stond 
* 285 3 -10 nog 
* 289 14 -9 niet,
- 313
: 325 4 0 maar 
: 329 2 0 ie
: 332 3 -2 der 
: 336 12 -3 had 
: 351 2 -7 zijn 
: 353 2 -5 ei
: 357 2 -3 gen 
: 360 13 -5 stem. 
- 381
: 389 2 2 Op 
: 391 5 2 el
: 397 2 0 ke 
: 399 6 -2 stei
: 405 4 -3 ger 
: 409 4 -2 klonk 
: 414 3 -10 een 
: 417 11 -9 lied,
- 441
: 453 6 0 van 
: 459 3 0 Pal
: 462 2 -2 jas 
: 465 10 -3 of 
: 480 2 -7 Je
: 482 3 -5 ru
: 485 3 -2 za
: 489 10 -2 lem.
- 511
: 774 2 -10 Al
: 777 2 -10 le 
: 779 2 -7 ven
: 781 2 -14 ters 
: 790 2 -12 had
: 793 2 -14 den 
: 795 2 -12 ei
: 797 2 -14 gen 
: 801 3 -12 a
: 805 1 -10 ri
: 806 13 -12 a's, 
- 829
: 839 3 -10 voor 
: 842 2 -7 sprot 
: 849 2 -9 en 
: 851 3 -7 ha
: 854 6 -7 ring, 
: 860 3 -7 voor 
: 864 2 -10 be
: 866 2 -5 go
: 869 1 -3 ni
: 870 15 -5 a's. 
- 894
: 902 3 -7 Zelfs 
: 906 6 -7 in 
: 913 2 -10 fa
: 915 2 -5 brie
: 917 3 -7 ken 
: 920 3 -7 kwam 
: 928 2 -14 van 
: 930 2 -12 o
: 933 1 -10 ver
: 934 12 -12 al, 
- 957
: 967 3 -9 toch 
: 970 4 -9 weer 
: 974 2 -12 een 
: 977 4 -7 lie
: 981 5 -7 dje 
: 986 4 -7 door 
: 994 2 -14 de 
: 996 2 -10 gro
: 998 2 -12 te 
: 1000 12 -14 hal.
- 1022
: 1032 3 2 Hil
: 1035 2 2 ver
: 1038 2 0 sum 
: 1041 6 -2 drie 
: 1047 2 -3 be
: 1050 5 -2 stond 
: 1055 3 -10 nog 
: 1059 14 -9 niet, 
- 1083
* 1095 4 0 maar 
* 1099 2 0 ie
* 1102 3 -2 der 
* 1106 12 -3 had 
* 1121 2 -7 zijn 
* 1123 2 -5 ei
* 1127 2 -3 gen 
* 1130 13 -5 stem. 
- 1154
: 1160 2 2 Op 
: 1162 5 2 el
: 1168 2 0 ke 
